Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2013;Neto migracija;Kaišiadorių r. sav.;asmenys;-319
2014;Neto migracija;Kaišiadorių r. sav.;asmenys;-217
2015;Neto migracija;Kaišiadorių r. sav.;asmenys;-239
2016;Neto migracija;Kaišiadorių r. sav.;asmenys;-366
2017;Neto migracija;Kaišiadorių r. sav.;asmenys;-348
2018;Neto migracija;Kaišiadorių r. sav.;asmenys;-159
1990;Neto migracija;Kauno m. sav.;asmenys;
1991;Neto migracija;Kauno m. sav.;asmenys;
1992;Neto migracija;Kauno m. sav.;asmenys;
1993;Neto migracija;Kauno m. sav.;asmenys;
1994;Neto migracija;Kauno m. sav.;asmenys;-7249
1995;Neto migracija;Kauno m. sav.;asmenys;-7786
1996;Neto migracija;Kauno m. sav.;asmenys;-6844
1997;Neto migracija;Kauno m. sav.;asmenys;-6445
1998;Neto migracija;Kauno m. sav.;asmenys;-4819
