Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;5.4
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;3.5
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;3.4
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;4.6
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;13.2
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;17.9
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;15.3
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;14.4
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;14.2
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;12.9
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;11.4
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;10.3
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;9.3
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus m. sav.;proc.;9.4
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;5.6
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;5.5
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;6.9
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;10.6
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;12.2
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;10.5
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;10.4
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;10.5
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;7.3
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;4.4
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;3.7
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;4.3
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;12.4
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;20.6
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;18.5
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;18.7
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;18.7
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;17.2
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;15.1
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;13.1
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;11.5
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Alytaus r. sav.;proc.;10.6
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Druskininkų sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Druskininkų sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Druskininkų sav.;proc.;
