;neighbourhood;street;municipality;houses;str_type
320;Antakalnis;Smėlynės Sodų 4-oji g. ;Vilnius;22;Sodas
321;Antakalnis;Smėlynės Sodų 5-oji g. ;Vilnius;16;Sodas
322;Antakalnis;Smėlio g. ;Vilnius;30;Kitas
323;Antakalnis;Smilgų g. ;Vilnius;21;Kitas
324;Antakalnis;Sokiškių g. ;Vilnius;17;Kitas
325;Antakalnis;Stanislovo Kerbedžio g. ;Vilnius;13;Kitas
326;Antakalnis;Stepono Kairio g. ;Vilnius;30;Kitas
327;Antakalnis;Svajonių g. ;Vilnius;25;Kitas
328;Antakalnis;Šalpusnių g. ;Vilnius;12;Kitas
329;Antakalnis;Šatrijos Raganos g. ;Vilnius;72;Kitas
330;Antakalnis;Šilagėlių g. ;Vilnius;22;Kitas
331;Antakalnis;Šilėnų g. ;Vilnius;67;Kitas
332;Antakalnis;Šilėnų Sodų 1-oji g. ;Vilnius;2;Sodas
333;Antakalnis;Šilėnų Sodų 2-oji g. ;Vilnius;6;Sodas
334;Antakalnis;Šilėnų Sodų 3-ioji g. ;Vilnius;11;Sodas
335;Antakalnis;Šilėnų Sodų 4-oji g. ;Vilnius;7;Sodas
336;Antakalnis;Šilėnų Sodų 5-oji g. ;Vilnius;6;Sodas
337;Antakalnis;Šilėnų Sodų 6-oji g. ;Vilnius;16;Sodas
338;Antakalnis;Šilėnų Sodų 7-oji g. ;Vilnius;16;Sodas
339;Antakalnis;Šilėnų Sodų 8-oji g. ;Vilnius;24;Sodas
340;Antakalnis;Šilėnų Sodų 9-oji g. ;Vilnius;14;Sodas
341;Antakalnis;Šilo g. ;Vilnius;61;Kitas
342;Antakalnis;Šlamučių g. ;Vilnius;19;Kitas
343;Antakalnis;Švyturio g. ;Vilnius;24;Kitas
344;Antakalnis;T. Ivanausko g. ;Vilnius;4;Kitas
345;Antakalnis;Talkos Sodų 1-oji g. ;Vilnius;22;Sodas
346;Antakalnis;Talkos Sodų 2-oji g. ;Vilnius;23;Sodas
347;Antakalnis;Talkos Sodų 3-ioji g. ;Vilnius;14;Sodas
348;Antakalnis;Talkos Sodų 4-oji g. ;Vilnius;13;Sodas
349;Antakalnis;Taurijos g. ;Vilnius;45;Kitas
350;Antakalnis;Tramvajų g. ;Vilnius;14;Kitas
351;Antakalnis;Turniškių g. ;Vilnius;56;Kitas
352;Antakalnis;Turniškių Sodų g. ;Vilnius;41;Sodas
353;Antakalnis;Tverečiaus g. ;Vilnius;20;Kitas
354;Antakalnis;V. Grybo g. ;Vilnius;33;Kitas
355;Antakalnis;V. Sezemano g. ;Vilnius;6;Kitas
